label,avg_trigger,sd_trigger,n_samples
"No yielding, eHMI off, Distance 1, Can see other person",0.3615567632022378,0.47815719559609177,23863
"No yielding, eHMI off, Distance 1, Cannot see other person",0.3872069230601548,0.485504461723321,23373
"No yielding, eHMI off, Distance 2, Can see other person",0.3611624669057699,0.47921536397622233,24108
"No yielding, eHMI off, Distance 2, Cannot see other person",0.4016149006351774,0.48756102441914057,23373
"No yielding, eHMI off, Distance 3, Can see other person",0.3818520621169404,0.4844747280294015,24598
"No yielding, eHMI off, Distance 3, Cannot see other person",0.41086234432159335,0.4894500312801052,23373
"No yielding, eHMI off, Distance 4, Can see other person",0.40847762971701884,0.4907002322016773,24843
"No yielding, eHMI off, Distance 4, Cannot see other person",0.4138564794243957,0.48933625330605784,23373
"No yielding, eHMI off, Distance 5, Can see other person",0.38889010281010844,0.485496627488152,25088
"No yielding, eHMI off, Distance 5, Cannot see other person",0.3703475899914003,0.4814346278457787,23373
"No yielding, eHMI on, Distance 1, Can see other person",0.3852413507262289,0.48461737091974716,23863
"No yielding, eHMI on, Distance 1, Cannot see other person",0.4058996216702105,0.48903439734526716,23373
"No yielding, eHMI on, Distance 2, Can see other person",0.3984681408738013,0.4884027632229533,24108
"No yielding, eHMI on, Distance 2, Cannot see other person",0.41890810342860557,0.4923494925655127,23373
"No yielding, eHMI on, Distance 3, Can see other person",0.4113986936982072,0.4890003019782882,24598
"No yielding, eHMI on, Distance 3, Cannot see other person",0.42951913869190944,0.4932864578096611,23373
"No yielding, eHMI on, Distance 4, Can see other person",0.42690244799262567,0.4933150228492246,24843
"No yielding, eHMI on, Distance 4, Cannot see other person",0.382967778241103,0.4843466415739118,23373
"No yielding, eHMI on, Distance 5, Can see other person",0.4045410280053254,0.4897143446669498,25088
"No yielding, eHMI on, Distance 5, Cannot see other person",0.39717106427353355,0.48715775836128505,23373
"Yes yielding, eHMI off, Distance 1, Can see other person",0.3087011415791254,0.4609424477829682,37093
"Yes yielding, eHMI off, Distance 1, Cannot see other person",0.31203861251833453,0.4616811686100672,36603
"Yes yielding, eHMI off, Distance 2, Can see other person",0.3026086756359018,0.4580715225219746,37583
"Yes yielding, eHMI off, Distance 2, Cannot see other person",0.30947333431345325,0.46040468750902364,36603
"Yes yielding, eHMI off, Distance 3, Can see other person",0.2628910172706098,0.439045867916692,38073
"Yes yielding, eHMI off, Distance 3, Cannot see other person",0.29640786925640056,0.45474126392625996,36603
"Yes yielding, eHMI off, Distance 4, Can see other person",0.2656544404033875,0.4398113197528848,38318
"Yes yielding, eHMI off, Distance 4, Cannot see other person",0.3243907747386553,0.46698690080463745,36603
"Yes yielding, eHMI off, Distance 5, Can see other person",0.22847023965588614,0.4178321778664666,38808
"Yes yielding, eHMI off, Distance 5, Cannot see other person",0.3119004319398355,0.4618003365305801,36603
"Yes yielding, eHMI on, Distance 1, Can see other person",0.25230559973066663,0.432345113800891,37338
"Yes yielding, eHMI on, Distance 1, Cannot see other person",0.2898638414985985,0.45105555514458484,36603
"Yes yielding, eHMI on, Distance 2, Can see other person",0.23165149898079715,0.42082145594690107,37583
"Yes yielding, eHMI on, Distance 2, Cannot see other person",0.26283576369312434,0.4390381449798353,36603
"Yes yielding, eHMI on, Distance 3, Can see other person",0.2140395993923778,0.40957606924787615,38073
"Yes yielding, eHMI on, Distance 3, Cannot see other person",0.2721270376440155,0.44404370246251157,36603
"Yes yielding, eHMI on, Distance 4, Can see other person",0.21050979817353724,0.4065731601692829,38318
"Yes yielding, eHMI on, Distance 4, Cannot see other person",0.2820527078299702,0.448039030700038,36603
"Yes yielding, eHMI on, Distance 5, Can see other person",0.2129299033578669,0.40755871563359514,38808
"Yes yielding, eHMI on, Distance 5, Cannot see other person",0.28078544467478894,0.4472297277646901,36603
